Source,Target,Type,Id,Label,timeset,Weight
121635201218067,54474067707,Directed,122,,,1
121635201218067,113897213765,Directed,123,,,1
121635201218067,227680145354,Directed,124,,,1
121635201218067,374523755953597,Directed,125,,,1
121635201218067,172791839444620,Directed,126,,,1
121635201218067,107399149282246,Directed,127,,,1
121635201218067,204571406251346,Directed,128,,,1
121635201218067,147835939351,Directed,129,,,1
121635201218067,203088523035971,Directed,130,,,1
121635201218067,119524084796419,Directed,131,,,1
121635201218067,248116567168,Directed,132,,,1
121635201218067,87047736106,Directed,133,,,1
121635201218067,126461805681,Directed,134,,,1
121635201218067,108415634782,Directed,135,,,1
121635201218067,166712823509,Directed,136,,,1
121635201218067,444438070071,Directed,137,,,1
7802084642,54474067707,Directed,138,,,1
7802084642,204571406251346,Directed,139,,,1
7802084642,203088523035971,Directed,140,,,1
7802084642,113897213765,Directed,141,,,1
7802084642,248116567168,Directed,142,,,1
7802084642,6108793458,Directed,143,,,1
150791208365503,7802084642,Directed,144,,,1
150791208365503,140323369373151,Directed,145,,,1
150791208365503,248116567168,Directed,146,,,1
150791208365503,114144098601914,Directed,147,,,1
150791208365503,126461805681,Directed,148,,,1
150791208365503,87047736106,Directed,149,,,1
150791208365503,113897213765,Directed,150,,,1
150791208365503,54474067707,Directed,151,,,1
150791208365503,171105376310030,Directed,152,,,1
150791208365503,121635201218067,Directed,153,,,1
374899661312,157216494332099,Directed,154,,,1
374899661312,113897213765,Directed,155,,,1
374899661312,166891610014560,Directed,156,,,1
374899661312,126461805681,Directed,157,,,1
111355981336,248116567168,Directed,158,,,1
111355981336,54474067707,Directed,159,,,1
111355981336,129034290451596,Directed,160,,,1
111355981336,172791839444620,Directed,161,,,1
111355981336,113897213765,Directed,162,,,1
121688864519252,121688864519252,Directed,163,,,1
121688864519252,315650871855629,Directed,164,,,1
166891610014560,126461805681,Directed,165,,,1
166891610014560,374899661312,Directed,166,,,1
166891610014560,162676127164370,Directed,167,,,1
166891610014560,113897213765,Directed,168,,,1
255631661185910,126461805681,Directed,169,,,1
255631661185910,113897213765,Directed,170,,,1
255631661185910,172791839444620,Directed,171,,,1
54474067707,114144098601914,Directed,172,,,1
54474067707,48462650317,Directed,173,,,1
54474067707,126461805681,Directed,174,,,1
54474067707,171105376310030,Directed,175,,,1
54474067707,113897213765,Directed,176,,,1
54474067707,133488380013999,Directed,177,,,1
54474067707,123064574395395,Directed,178,,,1
54474067707,6108793458,Directed,179,,,1
119524084796419,115103012029416,Directed,180,,,1
119524084796419,204571406251346,Directed,181,,,1
119524084796419,121635201218067,Directed,182,,,1
119524084796419,54474067707,Directed,183,,,1
119524084796419,203088523035971,Directed,184,,,1
119524084796419,172791839444620,Directed,185,,,1
119524084796419,131095156915715,Directed,186,,,1
119524084796419,113897213765,Directed,187,,,1
119524084796419,107399149282246,Directed,188,,,1
107399149282246,115103012029416,Directed,189,,,1
107399149282246,204571406251346,Directed,190,,,1
107399149282246,121635201218067,Directed,191,,,1
107399149282246,172791839444620,Directed,192,,,1
107399149282246,203088523035971,Directed,193,,,1
107399149282246,126461805681,Directed,194,,,1
107399149282246,113897213765,Directed,195,,,1
107399149282246,119524084796419,Directed,196,,,1
107399149282246,107399149282246,Directed,197,,,1
129034290451596,126461805681,Directed,198,,,1
129034290451596,107399149282246,Directed,199,,,1
129034290451596,444438070071,Directed,200,,,1
129034290451596,227680145354,Directed,201,,,1
129034290451596,113897213765,Directed,202,,,1
129034290451596,166712823509,Directed,203,,,1
129034290451596,152064966115,Directed,204,,,1
