Source,Target,Type,Id,Label,timeset,Weight
123333434489486,203088523035971,Directed,3434,,,1
123333434489486,108415634782,Directed,3435,,,1
123333434489486,126461805681,Directed,3436,,,1
123333434489486,140323369373151,Directed,3437,,,1
123333434489486,152064966115,Directed,3438,,,1
123333434489486,48462650317,Directed,3439,,,1
123333434489486,444438070071,Directed,3440,,,1
123333434489486,6108793458,Directed,3441,,,1
123333434489486,96039541606,Directed,3442,,,1
123333434489486,147835939351,Directed,3443,,,1
123333434489486,204571406251346,Directed,3444,,,1
123333434489486,166712823509,Directed,3445,,,1
123333434489486,113897213765,Directed,3446,,,1
123333434489486,227680145354,Directed,3447,,,1
123333434489486,129034290451596,Directed,3448,,,1
123333434489486,107399149282246,Directed,3449,,,1
123333434489486,119524084796419,Directed,3450,,,1
123333434489486,255631661185910,Directed,3451,,,1
123333434489486,166891610014560,Directed,3452,,,1
123333434489486,121688864519252,Directed,3453,,,1
123333434489486,111355981336,Directed,3454,,,1
123333434489486,150791208365503,Directed,3455,,,1
123333434489486,7802084642,Directed,3456,,,1
123333434489486,171105376310030,Directed,3457,,,1
123333434489486,133488380013999,Directed,3458,,,1
123333434489486,131095156915715,Directed,3459,,,1
123333434489486,492306324142423,Directed,3460,,,1
123333434489486,374523755953597,Directed,3461,,,1
123333434489486,114144098601914,Directed,3462,,,1
123333434489486,120578257977137,Directed,3463,,,1
123333434489486,248116567168,Directed,3464,,,1
123333434489486,87047736106,Directed,3465,,,1
123333434489486,121635201218067,Directed,3466,,,1
492306324142423,114144098601914,Directed,3467,,,1
492306324142423,119524084796419,Directed,3468,,,1
492306324142423,211453825667547,Directed,3469,,,1
492306324142423,96039541606,Directed,3470,,,1
492306324142423,248116567168,Directed,3471,,,1
492306324142423,113897213765,Directed,3472,,,1
131095156915715,410769092335189,Directed,3473,,,1
131095156915715,126461805681,Directed,3474,,,1
131095156915715,123064574395395,Directed,3475,,,1
131095156915715,107399149282246,Directed,3476,,,1
131095156915715,119524084796419,Directed,3477,,,1
131095156915715,113897213765,Directed,3478,,,1
162676127164370,166891610014560,Directed,3479,,,1
315650871855629,119524084796419,Directed,3480,,,1
315650871855629,113897213765,Directed,3481,,,1
174600353791,166891610014560,Directed,3482,,,1
174600353791,113897213765,Directed,3483,,,1
133488380013999,171105376310030,Directed,3484,,,1
133488380013999,123333434489486,Directed,3485,,,1
133488380013999,123064574395395,Directed,3486,,,1
133488380013999,172791839444620,Directed,3487,,,1
133488380013999,113897213765,Directed,3488,,,1
133488380013999,54474067707,Directed,3489,,,1
121635201218067,123333434489486,Directed,3490,,,1
121635201218067,150791208365503,Directed,3491,,,1
121635201218067,96039541606,Directed,3492,,,1
121635201218067,114144098601914,Directed,3493,,,1
121635201218067,54474067707,Directed,3494,,,1
121635201218067,113897213765,Directed,3495,,,1
121635201218067,227680145354,Directed,3496,,,1
121635201218067,374523755953597,Directed,3497,,,1
121635201218067,172791839444620,Directed,3498,,,1
121635201218067,107399149282246,Directed,3499,,,1
121635201218067,204571406251346,Directed,3500,,,1
121635201218067,147835939351,Directed,3501,,,1
121635201218067,203088523035971,Directed,3502,,,1
121635201218067,119524084796419,Directed,3503,,,1
121635201218067,248116567168,Directed,3504,,,1
121635201218067,87047736106,Directed,3505,,,1
121635201218067,126461805681,Directed,3506,,,1
121635201218067,108415634782,Directed,3507,,,1
121635201218067,166712823509,Directed,3508,,,1
121635201218067,444438070071,Directed,3509,,,1
7802084642,54474067707,Directed,3510,,,1
7802084642,204571406251346,Directed,3511,,,1
7802084642,203088523035971,Directed,3512,,,1
7802084642,113897213765,Directed,3513,,,1
7802084642,248116567168,Directed,3514,,,1
7802084642,6108793458,Directed,3515,,,1
150791208365503,7802084642,Directed,3516,,,1
150791208365503,140323369373151,Directed,3517,,,1
150791208365503,248116567168,Directed,3518,,,1
150791208365503,114144098601914,Directed,3519,,,1
150791208365503,126461805681,Directed,3520,,,1
150791208365503,87047736106,Directed,3521,,,1
150791208365503,113897213765,Directed,3522,,,1
150791208365503,54474067707,Directed,3523,,,1
150791208365503,171105376310030,Directed,3524,,,1
150791208365503,121635201218067,Directed,3525,,,1
374899661312,157216494332099,Directed,3526,,,1
374899661312,113897213765,Directed,3527,,,1
374899661312,166891610014560,Directed,3528,,,1
374899661312,126461805681,Directed,3529,,,1
111355981336,248116567168,Directed,3530,,,1
111355981336,54474067707,Directed,3531,,,1
111355981336,129034290451596,Directed,3532,,,1
111355981336,172791839444620,Directed,3533,,,1
111355981336,113897213765,Directed,3534,,,1
121688864519252,121688864519252,Directed,3535,,,1
121688864519252,315650871855629,Directed,3536,,,1
166891610014560,126461805681,Directed,3537,,,1
166891610014560,374899661312,Directed,3538,,,1
166891610014560,162676127164370,Directed,3539,,,1
166891610014560,113897213765,Directed,3540,,,1
255631661185910,126461805681,Directed,3541,,,1
255631661185910,113897213765,Directed,3542,,,1
255631661185910,172791839444620,Directed,3543,,,1
54474067707,114144098601914,Directed,3544,,,1
54474067707,48462650317,Directed,3545,,,1
54474067707,126461805681,Directed,3546,,,1
54474067707,171105376310030,Directed,3547,,,1
54474067707,113897213765,Directed,3548,,,1
54474067707,133488380013999,Directed,3549,,,1
54474067707,123064574395395,Directed,3550,,,1
54474067707,6108793458,Directed,3551,,,1
119524084796419,115103012029416,Directed,3552,,,1
119524084796419,204571406251346,Directed,3553,,,1
119524084796419,121635201218067,Directed,3554,,,1
119524084796419,54474067707,Directed,3555,,,1
119524084796419,203088523035971,Directed,3556,,,1
119524084796419,172791839444620,Directed,3557,,,1
119524084796419,131095156915715,Directed,3558,,,1
119524084796419,113897213765,Directed,3559,,,1
119524084796419,107399149282246,Directed,3560,,,1
107399149282246,115103012029416,Directed,3561,,,1
107399149282246,204571406251346,Directed,3562,,,1
107399149282246,121635201218067,Directed,3563,,,1
107399149282246,172791839444620,Directed,3564,,,1
107399149282246,203088523035971,Directed,3565,,,1
107399149282246,126461805681,Directed,3566,,,1
107399149282246,113897213765,Directed,3567,,,1
107399149282246,119524084796419,Directed,3568,,,1
